Symbol,Name
ABCB ,Ameris Bancorp
ACGL ,Arch Capital Group Ltd.
AGNC ,AGNC Investment Corp.
AMTD ,TD Ameritrade Holding Corporation
ANAT ,American National Insurance Company
AUB ,Atlantic Union Bankshares Corporation
BANR ,Banner Corporation
BGCP ,"BGC Partners, Inc."
BHF ,"Brighthouse Financial, Inc."
BOKF ,BOK Financial Corporation
BPOP ,"Popular, Inc."
BPR ,Brookfield Property REIT Inc.
CACC ,Credit Acceptance Corporation
CATY ,Cathay General Bancorp
CBSH ,"Commerce Bancshares, Inc."
CFFN ,"Capitol Federal Financial, Inc."
CIGI ,Colliers International Group Inc.
CINF ,Cincinnati Financial Corporation
CME ,CME Group Inc.
COLB ,"Columbia Banking System, Inc."
CONE ,CyrusOne Inc
CSFL ,CenterState Bank Corporation
CTRE ,"CareTrust REIT, Inc."
CVBF ,CVB Financial Corporation
EQIX ,"Equinix, Inc."
ERIE ,Erie Indemnity Company
ESGR ,Enstar Group Limited
ETFC ,E*TRADE Financial Corporation
EWBC ,"East West Bancorp, Inc."
FCFS ,"FirstCash, Inc."
FCNCA ,"First Citizens BancShares, Inc."
FFBC ,First Financial Bancorp.
FFIN ,"First Financial Bankshares, Inc."
FHB ,"First Hawaiian, Inc."
FITB ,Fifth Third Bancorp
FMBI ,"First Midwest Bancorp, Inc."
FRME ,First Merchants Corporation
FSV ,FirstService Corporation
FULT ,Fulton Financial Corporation
GBCI ,"Glacier Bancorp, Inc."
GLIBA ,"GCI Liberty, Inc."
GLPI ,"Gaming and Leisure Properties, Inc."
HBAN ,Huntington Bancshares Incorporated
HOMB ,"Home BancShares, Inc."
HOPE ,"Hope Bancorp, Inc."
HWC ,Hancock Whitney Corporation
IBKC ,IBERIABANK Corporation
IBOC ,International Bancshares Corporation
IBTX ,"Independent Bank Group, Inc"
INDB ,Independent Bank Corp.
ISBC ,"Investors Bancorp, Inc."
LAMR ,Lamar Advertising Company
LPLA ,LPL Financial Holdings Inc.
LTXB ,"LegacyTexas Financial Group, Inc."
MKTX ,"MarketAxess Holdings, Inc."
NAVI ,Navient Corporation
NDAQ ,"Nasdaq, Inc."
NGHC ,National General Holdings Corp
NMRK ,"Newmark Group, Inc."
NTRS ,Northern Trust Corporation
ONB ,Old National Bancorp
OZK ,Bank OZK
PACW ,PacWest Bancorp
PBCT ,"People's United Financial, Inc."
PCH ,PotlatchDeltic Corporation
PFG ,Principal Financial Group Inc
PNFP ,"Pinnacle Financial Partners, Inc."
PPBI ,Pacific Premier Bancorp Inc
REG ,Regency Centers Corporation
RNST ,Renasant Corporation
ROIC ,Retail Opportunity Investments Corp.
SBAC ,SBA Communications Corporation
SBNY ,Signature Bank
SBRA ,"Sabra Health Care REIT, Inc."
SEIC ,SEI Investments Company
SFBS ,"ServisFirst Bancshares, Inc."
SFNC ,Simmons First National Corporation
SIGI ,"Selective Insurance Group, Inc."
SIVB ,SVB Financial Group
SLM ,SLM Corporation
SSB ,South State Corporation
TCBI ,"Texas Capital Bancshares, Inc."
TCF ,TCF Financial Corporation
TFSL ,TFS Financial Corporation
TOWN ,Towne Bank
TREE ,"LendingTree, Inc."
TRMK ,Trustmark Corporation
TROW ,"T. Rowe Price Group, Inc."
UBSI ,"United Bankshares, Inc."
UCBI ,"United Community Banks, Inc."
UMBF ,UMB Financial Corporation
UMPQ ,Umpqua Holdings Corporation
UNIT ,Uniti Group Inc.
VLY ,Valley National Bancorp
WAFD ,"Washington Federal, Inc."
WSBC ,"WesBanco, Inc."
WSFS ,WSFS Financial Corporation
WTFC ,Wintrust Financial Corporation
ZG ,"Zillow Group, Inc."
ZION ,Zions Bancorporation N.A.
